panel,dataset,descriptor,method,seed,mask_frac,n_observed,n_masked,mae,rmse,r2,pearson_r,seconds
panel2,logp,SpDiam_Dzp,miss_transformer,42,0.5,4929,2464,33.775916471883846,50.28557707044766,0.9861501081905784,0.9933403838828008,1071.182691574097
panel1,logp,TopoPSA,miss_transformer,42,0.5,4929,2464,2.912817114262612,4.113218442877313,0.9876117491939902,0.9947932861879968,1462.1026861667633
panel2,logp,nC,miss_transformer,42,0.5,4929,2464,0.495350150705932,0.6677048504144509,0.9887504498229608,0.9964390644775782,1283.3351893424988
panel1,logp,SpAbs_Dzv,miss_transformer,42,0.5,4929,2464,21.27188522165472,50.54170603231497,0.9887620741368878,0.9945968795833317,1176.5100591182709
panel2,logp,naAromAtom,miss_transformer,42,0.5,4929,2464,0.1439173798282425,0.2808396569324582,0.9900073032754249,0.9960418490228984,1494.4635643959043
panel2,logp,nX,miss_transformer,42,0.5,4929,2464,0.6166437074735567,0.8730650145253345,0.9908030889534408,0.9983260867231089,1287.2526700496674
panel2,logp,SRW8,miss_transformer,42,0.5,4929,2464,0.0324986166768259,0.0527118672772273,0.9908925487043242,0.9961201077375228,1134.2186970710754
panel2,logp,nH,miss_transformer,42,0.5,4929,2464,0.6202553123622746,0.8244013897347063,0.9910300930003694,0.9973492096590142,1343.615268945694
panel1,logp,ATS4m,miss_transformer,42,0.5,4929,2464,724.9520781628497,1081.956707137072,0.9910668092688883,0.9957920557879124,1205.796745300293
panel2,logp,WTPT-3,miss_transformer,42,0.5,4929,2464,1.6878103385497998,2.2276681921592587,0.991310455226218,0.9975128345145132,1304.803406238556
panel1,logp,AMR,miss_transformer,42,0.5,4929,2464,1.7687390657601418,2.800283360323506,0.9918973878235005,0.9960995773731552,1537.2867579460144
panel1,logp,MWC5,miss_transformer,42,0.5,4929,2464,0.03187454404769,0.0499659718343088,0.9919070122944976,0.9961983564415612,1163.6506078243256
panel1,logp,nO,miss_transformer,42,0.5,4929,2464,0.1104028914849479,0.1831815205463384,0.9921518588368574,0.997669162721039,1204.4253239631653
panel2,logp,SpMax_Dze,miss_transformer,42,0.5,4929,2464,11.384994742158172,17.249802381928564,0.9925705150283356,0.996739083700264,1072.950175523758
panel2,logp,Kier1,miss_transformer,42,0.5,4929,2464,1.0036055035405345,1.2048002662295276,0.9935634088506866,0.9988965594484528,1298.64937210083
panel1,logp,nF,miss_transformer,42,0.5,4929,2464,0.4183781832069546,0.6690348871538636,0.994604276009946,0.9977574298590608,1297.4966979026794
panel2,logp,ETA_Beta,miss_transformer,42,0.5,4929,2464,0.4968105608766729,0.7313328172997884,0.9951539825638396,0.9987347807097474,1328.058788061142
panel1,logp,apol,miss_transformer,42,0.5,4929,2464,0.8104188492545834,1.210514167488087,0.996356334409802,0.9983797625588448,1335.527899503708
panel1,logp,nAtom,miss_transformer,42,0.5,4929,2464,0.6745589089083981,1.0879918415484082,0.9970483853225526,0.9985659140407772,1372.6166648864746
panel1,logp,ETA_Alpha,miss_transformer,42,0.5,4929,2464,0.198174891824072,0.3038198045454973,0.9970965895594662,0.9987909703600554,1144.1096622943878
panel1,logp,nHeavyAtom,miss_transformer,42,0.5,4929,2464,0.5821136236190796,0.8003712096283553,0.9971219259149852,0.9986350726335086,1457.5804390907288
